Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA
E0,16-08-2008,Arsenal,West Brom,1,0,H,1,0,H,H Webb,24,5,14,4,11,8,7,5,0,0,0,0,1.2,6.5,15,1.22,5.5,10,1.22,5.5,13,1.2,5.2,11,1.2,5,11,1.2,5.5,12,1.2,5.5,12
E0,16-08-2008,Bolton,Stoke,3,1,H,3,0,H,C Foy,14,8,8,2,13,12,4,3,1,2,0,0,1.83,3.5,4.5,1.75,3.3,4.4,1.83,3.25,4.5,1.75,3.3,4.2,1.73,3.4,4,1.8,3.25,4.2,1.8,3.2,4.33
E0,16-08-2008,Everton,Blackburn,2,3,A,1,1,D,A Marriner,10,15,5,11,11,9,3,5,2,2,0,0,2,3.3,4,1.85,3.25,4,2,3.25,3.75,2,3.2,3.3,1.8,3.2,4,1.9,3.25,3.75,2,3.25,3.4
E0,16-08-2008,Hull,Fulham,2,1,H,1,1,D,P Walton,11,12,6,6,10,9,5,6,3,0,0,0,2.6,3.2,2.8,2.45,3.15,2.65,2.6,3.25,2.6,2.4,3.2,2.6,2.4,3.25,2.5,2.5,3.2,2.6,2.38,3.2,2.75
E0,16-08-2008,Middlesbrough,Tottenham,2,1,H,0,0,D,M Atkinson,14,8,10,5,11,12,7,9,1,2,0,0,3.2,3.4,2.25,2.8,3.2,2.3,3,3.25,2.3,2.9,3.2,2.2,2.8,3.2,2.2,2.8,3.2,2.3,2.88,3.4,2.2
E0,16-08-2008,Sunderland,Liverpool,0,1,A,0,0,D,A Wiley,6,14,3,8,13,12,1,8,0,2,0,0,5.5,3.6,1.67,5,3.35,1.67,5,3.4,1.7,4.5,3.5,1.65,4.5,3.3,1.67,5,3.4,1.65,4.33,3.4,1.73
E0,16-08-2008,West Ham,Wigan,2,1,H,2,0,H,S Bennett,15,22,8,9,14,11,6,10,2,1,0,0,1.91,3.4,4.2,1.9,3.2,3.8,1.91,3.25,4,1.8,3.3,3.8,1.8,3.2,4,1.9,3.25,3.75,1.91,3.25,3.75
E0,17-08-2008,Aston Villa,Man City,4,2,H,0,0,D,P Dowd,14,13,10,8,8,11,7,8,0,1,0,0,1.91,3.4,4.33,1.95,3.2,3.6,1.91,3.25,4,2,3.2,3.3,1.83,3.2,3.75,1.9,3.25,3.75,1.91,3.25,3.75
E0,17-08-2008,Chelsea,Portsmouth,4,0,H,3,0,H,M Dean,18,12,11,8,10,6,8,3,0,1,0,0,1.33,5,10,1.3,4.75,8.25,1.33,4.75,9,1.3,4.4,8.5,1.29,4.33,9,1.3,4.5,9,1.25,5,10
E0,17-08-2008,Man United,Newcastle,1,1,D,1,1,D,M Riley,18,11,12,4,15,11,6,6,3,0,0,0,1.29,5.5,11,1.3,4.75,8.25,1.3,4.75,10,1.3,4.4,8.5,1.25,4.5,10,1.25,5,10,1.25,5,10
